"产品大类","字段名","是否共用","是否小类特殊支持","字段使用描述"
"WEDDING_CAKE","BASE_CURRENCY_CODE","否","是","FX基础币种，决定货币对方向。 小类特殊支持：FX。"
"WEDDING_CAKE","BASE_DISCOUNT_CURVE","否","是","FX基础币贴现曲线。 小类特殊支持：FX。"
"WEDDING_CAKE","BUY_OR_SELL","是","否","买卖方向，决定PV与Greeks符号。"
"WEDDING_CAKE","FIXING_ID","是","否","定盘数据标识，用于历史观测和窗口内判断。 该字段参与产品分支/路径判断。"
"WEDDING_CAKE","HISTORICAL_CURVE","否","否","历史时序数据曲线。"
"WEDDING_CAKE","INNER_LOWER_BARRIER","否","否","内层下障碍（结构化分档）。"
"WEDDING_CAKE","INNER_RATE","否","否","内层区间收益率。"
"WEDDING_CAKE","INNER_UPPER_BARRIER","否","否","内层上障碍（结构化分档）。"
"WEDDING_CAKE","INSTRUMENT_ID","是","否","交易唯一标识，用于结果回写与定位。"
"WEDDING_CAKE","MATURITY_DATE","是","否","到期日，用于终值计算与到期分支。"
"WEDDING_CAKE","MID_RATE","否","否","中档收益率。"
"WEDDING_CAKE","NOTIONAL","是","否","名义本金，按比例放大PV与Greeks。"
"WEDDING_CAKE","OUT_RATE","否","否","外层区间收益率。"
"WEDDING_CAKE","OUTER_LOWER_BARRIER","否","否","外层下障碍（结构化分档）。"
"WEDDING_CAKE","OUTER_UPPER_BARRIER","否","否","外层上障碍（结构化分档）。"
"WEDDING_CAKE","PRICE_CURVE","否","是","标的价格/远期曲线代码。 小类特殊支持：COMM/EQ/IR。"
"WEDDING_CAKE","PRODUCT_CODE","是","否","产品代码，决定具体定价/敏感性实现。"
"WEDDING_CAKE","RATE_TYPE","否","是","利率类型标识（如Shibor/Libor）。 小类特殊支持：IR。"
"WEDDING_CAKE","SETTLE_CURRENCY_CODE","是","否","结算币种字段，用于结算折现与换算。"
"WEDDING_CAKE","SETTLE_DATE","是","否","结算日，用于贴现与交割时点。"
"WEDDING_CAKE","SETTLE_DISCOUNT_CURVE","是","否","结算贴现曲线代码。"
"WEDDING_CAKE","START_DATE","是","否","起始日，用于剩余期限与路径窗口计算。"
"WEDDING_CAKE","TERM_CODE","否","是","期限代码（如1M/3M）。 小类特殊支持：IR。"
"WEDDING_CAKE","TERM_FREQ","否","是","期限频率信息。 小类特殊支持：IR。"
"WEDDING_CAKE","UNDERLYING_CODE","否","是","标的代码（市场数据映射）。 小类特殊支持：FX。"
"WEDDING_CAKE","UNDERLYING_CURRENCY_CODE","否","是","FX标的币种，决定货币对方向。 小类特殊支持：FX。"
"WEDDING_CAKE","UNDERLYING_DISCOUNT_CURVE","否","是","FX标的币贴现曲线。 小类特殊支持：FX。"
"WEDDING_CAKE","VOLATILITY_SURFACE","是","否","波动率曲面代码，用于期权定价和Vega。"
"RANGE_ACCURE","ABS_FLAG","否","否","敏感性扰动口径（绝对/相对）开关。 备注：Greek口径。 该字段参与产品分支/路径判断。"
"RANGE_ACCURE","ASSET","否","否","输入字段，按产品实现参与估值或分支逻辑。 备注：商品风险映射。"
"RANGE_ACCURE","BASE_CURRENCY_CODE","否","是","FX基础币种，决定货币对方向。 小类特殊支持：FX。"
"RANGE_ACCURE","BASE_DISCOUNT_CURVE","否","是","FX基础币贴现曲线。 小类特殊支持：FX。"
"RANGE_ACCURE","BUY_OR_SELL","是","否","买卖方向，决定PV与Greeks符号。"
"RANGE_ACCURE","DISCOUNT_CURVE","是","否","贴现曲线代码，用于现金流折现。"
"RANGE_ACCURE","EPS","否","否","有限差分扰动步长参数。"
"RANGE_ACCURE","FIXING_ID","是","否","定盘数据标识，用于历史观测和窗口内判断。 该字段参与产品分支/路径判断。"
"RANGE_ACCURE","FRTB_COMM_ASSET","否","是","FRTB商品资产分类映射。 小类特殊支持：COMM。"
"RANGE_ACCURE","FRTB_COMM_BUCKET","否","是","FRTB商品风险桶映射。 备注：商品风险映射。 小类特殊支持：COMM。"
"RANGE_ACCURE","FRTB_COMM_LOCATION","否","是","FRTB商品地点维度映射。 小类特殊支持：COMM。"
"RANGE_ACCURE","HISTORICAL_CURVE","否","否","历史时序数据曲线。 备注：兼容输入。"
"RANGE_ACCURE","INSTRUMENT_ID","是","否","交易唯一标识，用于结果回写与定位。"
"RANGE_ACCURE","LOCATION","否","否","输入字段，按产品实现参与估值或分支逻辑。 备注：商品风险映射。"
"RANGE_ACCURE","LOWER_BARRIER","是","否","下障碍，用于敲出/区间下限判断。 该字段参与产品分支/路径判断。"
"RANGE_ACCURE","MATURITY_DATE","是","否","到期日，用于终值计算与到期分支。"
"RANGE_ACCURE","NOTIONAL","是","否","名义本金，按比例放大PV与Greeks。"
"RANGE_ACCURE","OBS_DATE","是","否","观察日序列，用于逐点触发或区间累计判断。 该字段参与产品分支/路径判断。"
"RANGE_ACCURE","PRICE_CURVE","否","是","标的价格/远期曲线代码。 小类特殊支持：COMM/EQ/IR。"
"RANGE_ACCURE","PRODUCT_CODE","是","否","产品代码，决定具体定价/敏感性实现。"
"RANGE_ACCURE","RANGE_ACCURE_RATE","是","否","区间累计计息比率。"
"RANGE_ACCURE","RANGE_DIRECTION","是","否","区间方向（in/out），决定命中计息逻辑。 该字段参与产品分支/路径判断。"
"RANGE_ACCURE","RATE_TYPE","否","是","利率类型标识（如Shibor/Libor）。 小类特殊支持：IR。"
"RANGE_ACCURE","SETTLE_DATE","是","否","结算日，用于贴现与交割时点。"
"RANGE_ACCURE","START_DATE","是","否","起始日，用于剩余期限与路径窗口计算。"
"RANGE_ACCURE","TERM_CODE","否","是","期限代码（如1M/3M）。 小类特殊支持：IR。"
"RANGE_ACCURE","TERM_FREQ","否","是","期限频率信息。 小类特殊支持：IR。"
"RANGE_ACCURE","UNDERLYING_CODE","否","是","标的代码（市场数据映射）。 小类特殊支持：COMM。"
"RANGE_ACCURE","UNDERLYING_CURRENCY_CODE","否","是","FX标的币种，决定货币对方向。 小类特殊支持：FX。"
"RANGE_ACCURE","UNDERLYING_DISCOUNT_CURVE","否","是","FX标的币贴现曲线。 小类特殊支持：FX。"
"RANGE_ACCURE","UNDERLYING_ID","否","是","标的代码（交易层标的识别）。 小类特殊支持：FX。"
"RANGE_ACCURE","UPPER_BARRIER","是","否","上障碍，用于敲出/区间上限判断。 该字段参与产品分支/路径判断。"
"RANGE_ACCURE","VOLATILITY_SURFACE","是","否","波动率曲面代码，用于期权定价和Vega。"
"SPREADOPT","BASE_CURRENCY_CODE","否","是","FX基础币种，决定货币对方向。 小类特殊支持：FX。"
"SPREADOPT","BASE_DISCOUNT_CURVE","否","是","FX基础币贴现曲线。 小类特殊支持：FX。"
"SPREADOPT","BUY_OR_SELL","是","否","买卖方向，决定PV与Greeks符号。"
"SPREADOPT","CURRENCY_CODE","否","是","定价或名义币种字段。 小类特殊支持：COMM/EQ。"
"SPREADOPT","DISCOUNT_CURVE","否","是","贴现曲线代码，用于现金流折现。 小类特殊支持：COMM/EQ。"
"SPREADOPT","DOWN_BARRIER","是","否","下障碍（兼容命名），与LOWER_BARRIER语义类似。 该字段参与产品分支/路径判断。"
"SPREADOPT","INITIAL_PRICE","是","否","初始价格，用于价差/收益结构基准。"
"SPREADOPT","INSTRUMENT_ID","是","否","交易唯一标识，用于结果回写与定位。"
"SPREADOPT","MATURITY_DATE","是","否","到期日，用于终值计算与到期分支。"
"SPREADOPT","NOTIONAL","是","否","名义本金，按比例放大PV与Greeks。"
"SPREADOPT","OPTION_TYPE","是","否","期权形态（Call/Put/Double等），用于分支逻辑。 该字段参与产品分支/路径判断。"
"SPREADOPT","PRICE_CURVE","否","是","标的价格/远期曲线代码。 小类特殊支持：COMM/EQ。"
"SPREADOPT","PRODUCT_CODE","是","否","产品代码，决定具体定价/敏感性实现。"
"SPREADOPT","SETTLE_DATE","是","否","结算日，用于贴现与交割时点。"
"SPREADOPT","SETTLE_TYPE","是","否","结算类型（现金/实物）。 该字段参与产品分支/路径判断。"
"SPREADOPT","START_DATE","是","否","起始日，用于剩余期限与路径窗口计算。"
"SPREADOPT","UNDERLYING_CURRENCY_CODE","否","是","FX标的币种，决定货币对方向。 小类特殊支持：FX。"
"SPREADOPT","UNDERLYING_DISCOUNT_CURVE","否","是","FX标的币贴现曲线。 小类特殊支持：FX。"
"SPREADOPT","UPPER_BARRIER","是","否","上障碍，用于敲出/区间上限判断。 该字段参与产品分支/路径判断。"
"SPREADOPT","VOLATILITY_SURFACE","是","否","波动率曲面代码，用于期权定价和Vega。"
"SPREADOPT","VV_FLAG","否","否","Vanna-Volga模型开关。 备注：Vanna-Volga开关，按产品实现可选。"
"STEP_UP","ABS_FLAG","否","否","敏感性扰动口径（绝对/相对）开关。 该字段参与产品分支/路径判断。"
"STEP_UP","BASE_CURRENCY_CODE","否","是","FX基础币种，决定货币对方向。 小类特殊支持：FX。"
"STEP_UP","BASE_DISCOUNT_CURVE","否","是","FX基础币贴现曲线。 小类特殊支持：FX。"
"STEP_UP","BUY_OR_SELL","是","否","买卖方向，决定PV与Greeks符号。"
"STEP_UP","CALL_OR_PUT","是","否","看涨/看跌方向，决定支付函数与障碍解释方向。 该字段参与产品分支/路径判断。"
"STEP_UP","CURRENCY_CODE","是","否","定价或名义币种字段。"
"STEP_UP","DISCOUNT_CURVE","是","否","贴现曲线代码，用于现金流折现。"
"STEP_UP","EPS","否","否","有限差分扰动步长参数。"
"STEP_UP","FIXING_DATE","是","否","定盘日，用于窗口内分支与收益档选择。 该字段参与产品分支/路径判断。"
"STEP_UP","FIXING_ID","是","否","定盘数据标识，用于历史观测和窗口内判断。"
"STEP_UP","FRTB_COMM_ASSET","否","是","FRTB商品资产分类映射。 小类特殊支持：COMM。"
"STEP_UP","FRTB_COMM_BUCKET","否","是","FRTB商品风险桶映射。 小类特殊支持：COMM。"
"STEP_UP","FRTB_COMM_LOCATION","否","是","FRTB商品地点维度映射。 小类特殊支持：COMM。"
"STEP_UP","HIGH_RATE","是","否","高档收益率。 该字段参与产品分支/路径判断。"
"STEP_UP","INSTRUMENT_ID","是","否","交易唯一标识，用于结果回写与定位。"
"STEP_UP","LOW_RATE","是","否","低档收益率。"
"STEP_UP","LOWER_BARRIER","是","否","下障碍，用于敲出/区间下限判断。 该字段参与产品分支/路径判断。"
"STEP_UP","MATURITY_DATE","是","否","到期日，用于终值计算与到期分支。"
"STEP_UP","MID_RATE","是","否","中档收益率。"
"STEP_UP","NOTIONAL","是","否","名义本金，按比例放大PV与Greeks。"
"STEP_UP","PRICE_CURVE","否","是","标的价格/远期曲线代码。 备注：非FX常用。 小类特殊支持：COMM/EQ/IR。"
"STEP_UP","PRODUCT_CODE","是","否","产品代码，决定具体定价/敏感性实现。"
"STEP_UP","SETTLE_CURRENCY_CODE","否","是","结算币种字段，用于结算折现与换算。 小类特殊支持：EQ/IR。"
"STEP_UP","START_DATE","是","否","起始日，用于剩余期限与路径窗口计算。"
"STEP_UP","TERM_DAYS","否","是","期限天数字段。 备注：IR常用。 小类特殊支持：IR。 该字段参与产品分支/路径判断。"
"STEP_UP","UNDERLYING_CODE","否","是","标的代码（市场数据映射）。 小类特殊支持：COMM。"
"STEP_UP","UNDERLYING_CURRENCY_CODE","否","是","FX标的币种，决定货币对方向。 小类特殊支持：FX。"
"STEP_UP","UNDERLYING_DISCOUNT_CURVE","否","是","FX标的币贴现曲线。 小类特殊支持：FX。"
"STEP_UP","UNDERLYING_ID","否","是","标的代码（交易层标的识别）。 小类特殊支持：FX。"
"STEP_UP","UPPER_BARRIER","是","否","上障碍，用于敲出/区间上限判断。"
"STEP_UP","VOLATILITY_SURFACE","是","否","波动率曲面代码，用于期权定价和Vega。"
"STEP_UP","VV_FLAG","否","否","Vanna-Volga模型开关。"
"DIGITAL","BASE_CURRENCY_CODE","否","是","FX基础币种，决定货币对方向。 小类特殊支持：FX。"
"DIGITAL","BASE_DISCOUNT_CURVE","否","是","FX基础币贴现曲线。 小类特殊支持：FX。"
"DIGITAL","BASE_PAYOFF","是","否","基础支付金额。"
"DIGITAL","BUY_OR_SELL","是","否","买卖方向，决定PV与Greeks符号。"
"DIGITAL","CALL_OR_PUT","是","否","看涨/看跌方向，决定支付函数与障碍解释方向。 该字段参与产品分支/路径判断。"
"DIGITAL","CONTRACT_SIZE","是","否","合约乘数，按手数换算名义规模。"
"DIGITAL","CURRENCY_CODE","否","是","定价或名义币种字段。 小类特殊支持：COMM/EQ。"
"DIGITAL","DISCOUNT_CURVE","否","是","贴现曲线代码，用于现金流折现。 小类特殊支持：COMM/EQ/IR。"
"DIGITAL","FIXING_ID","否","是","定盘数据标识，用于历史观测和窗口内判断。 小类特殊支持：IR。 该字段参与产品分支/路径判断。"
"DIGITAL","INSTRUMENT_ID","是","否","交易唯一标识，用于结果回写与定位。"
"DIGITAL","MATURITY_DATE","是","否","到期日，用于终值计算与到期分支。 该字段参与产品分支/路径判断。"
"DIGITAL","PAYOFF_LOWER","是","否","最低支付或下限支付。"
"DIGITAL","PRICE_CURVE","否","是","标的价格/远期曲线代码。 小类特殊支持：COMM/EQ/IR。"
"DIGITAL","PRODUCT_CODE","是","否","产品代码，决定具体定价/敏感性实现。"
"DIGITAL","RATE_TYPE","否","是","利率类型标识（如Shibor/Libor）。 小类特殊支持：IR。"
"DIGITAL","SETTLE_CURRENCY_CODE","否","是","结算币种字段，用于结算折现与换算。 小类特殊支持：FX。"
"DIGITAL","SETTLE_DATE","是","否","结算日，用于贴现与交割时点。"
"DIGITAL","SETTLE_DISCOUNT_CURVE","否","是","结算贴现曲线代码。 小类特殊支持：COMM/EQ/FX。"
"DIGITAL","STRIKE_PRICE","是","否","行权价，决定内在价值与数字触发阈值。 该字段参与产品分支/路径判断。"
"DIGITAL","TERM_CODE","否","是","期限代码（如1M/3M）。 小类特殊支持：IR。"
"DIGITAL","TERM_FREQ","否","是","期限频率信息。 小类特殊支持：IR。"
"DIGITAL","UNDERLYING_CURRENCY_CODE","否","是","FX标的币种，决定货币对方向。 小类特殊支持：FX。"
"DIGITAL","UNDERLYING_DISCOUNT_CURVE","否","是","FX标的币贴现曲线。 小类特殊支持：FX。"
"DIGITAL","VOLATILITY_SURFACE","是","否","波动率曲面代码，用于期权定价和Vega。"
"DIGITAL","VV_FLAG","否","否","Vanna-Volga模型开关。 备注：可选。"
"BARRIER","BASE_CURRENCY_CODE","否","是","FX基础币种，决定货币对方向。 小类特殊支持：FX。"
"BARRIER","BASE_DISCOUNT_CURVE","否","是","FX基础币贴现曲线。 小类特殊支持：FX。"
"BARRIER","BASE_PAYOFF","是","否","基础支付金额。"
"BARRIER","BUY_OR_SELL","是","否","买卖方向，决定PV与Greeks符号。"
"BARRIER","CONTRACT_SIZE","是","否","合约乘数，按手数换算名义规模。"
"BARRIER","CURRENCY_CODE","否","是","定价或名义币种字段。 小类特殊支持：COMM/EQ。"
"BARRIER","DISCOUNT_CURVE","否","是","贴现曲线代码，用于现金流折现。 小类特殊支持：COMM/EQ/IR。"
"BARRIER","DOWN_BARRIER","否","否","下障碍（兼容命名），与LOWER_BARRIER语义类似。"
"BARRIER","FIXING_ID","否","是","定盘数据标识，用于历史观测和窗口内判断。 小类特殊支持：IR。 该字段参与产品分支/路径判断。"
"BARRIER","INSTRUMENT_ID","是","否","交易唯一标识，用于结果回写与定位。"
"BARRIER","KNOCK_OUT_FLAG","是","否","是否已敲出状态标记，影响剩余价值分支。 该字段参与产品分支/路径判断。"
"BARRIER","MATURITY_DATE","是","否","到期日，用于终值计算与到期分支。"
"BARRIER","OPTION_TYPE","是","否","期权形态（Call/Put/Double等），用于分支逻辑。 该字段参与产品分支/路径判断。"
"BARRIER","PAYOFF_LOWER","是","否","最低支付或下限支付。"
"BARRIER","PRICE_CURVE","否","是","标的价格/远期曲线代码。 小类特殊支持：COMM/EQ/IR。"
"BARRIER","PRODUCT_CODE","是","否","产品代码，决定具体定价/敏感性实现。"
"BARRIER","RATE_TYPE","否","是","利率类型标识（如Shibor/Libor）。 小类特殊支持：IR。"
"BARRIER","SETTLE_CURRENCY_CODE","否","是","结算币种字段，用于结算折现与换算。 小类特殊支持：FX。"
"BARRIER","SETTLE_DATE","是","否","结算日，用于贴现与交割时点。"
"BARRIER","SETTLE_DISCOUNT_CURVE","否","是","结算贴现曲线代码。 小类特殊支持：FX。"
"BARRIER","TERM_CODE","否","是","期限代码（如1M/3M）。 小类特殊支持：IR。"
"BARRIER","TERM_FREQ","否","是","期限频率信息。 小类特殊支持：IR。"
"BARRIER","TOUCH_BEFORE_FLAG","是","否","历史是否触碰标记，影响障碍生效分支。 该字段参与产品分支/路径判断。"
"BARRIER","UNDERLYING_CURRENCY_CODE","否","是","FX标的币种，决定货币对方向。 小类特殊支持：FX。"
"BARRIER","UNDERLYING_DISCOUNT_CURVE","否","是","FX标的币贴现曲线。 小类特殊支持：FX。"
"BARRIER","UPPER_BARRIER","否","否","上障碍，用于敲出/区间上限判断。 备注：单双障碍依赖。 该字段参与产品分支/路径判断。"
"BARRIER","VOLATILITY_SURFACE","是","否","波动率曲面代码，用于期权定价和Vega。"
"BARRIER","VV_FLAG","否","否","Vanna-Volga模型开关。 备注：可选。"
